,city,job_title,company_name,location,summary,salary,og_salary_period
145,los angeles,part time data science instructor,general assembly,santa monica  ca,data visualization techniques  data science instructor overview  manipulation of large data sets  you are eager to shape the skills  minds  and trajectories of   ,,
146,los angeles,data engineer,retention science,santa monica  ca,we are looking for passionate data engineers to scale out our platform and collaborate with data scientists to implement and improve our machine learning models   ,,
147,los angeles,postdoctoral scientist,cedars sinai,los angeles  ca,will present data at weekly meetings and prepare data for publication  analyzes and interprets data  analyzes  interprets  summarizes and compiles data    ,,
148,philadelphia,senior analyst quantitative analytics,lincoln financial,philadelphia  pa,alternate locations: philadelphia  pa  pennsylvania  relocation assistance will be considered provided for this opportunity within our company guidelines ,,
149,philadelphia,data engineer scientist,rs energy group,plymouth meeting  pa,integrated with cloud based external data sources  and api’s to discover interesting data trends  working alongside data scientists to productionalize advanced   ,,
150,philadelphia,data scientist,predictive science,philadelphia,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
151,philadelphia,data scientist   developer   analytics center of excellence,quintilesims,philadelphia  pa,data scientist developer – the role  as a data science software developer  this is a unique opportunity to build unparalleled in depth knowledge within our   ,,
152,philadelphia,predictive modeling analyst,vencore,king of prussia  pa,experience in utilizing cots products to analyze data and generate results  e g  analyzes data and conducts advanced statical analysis and applies mathematical   ,,
153,philadelphia,research data analyst,lexisnexis,philadelphia  pa,the research data analyst  provide services in support of literature surveillance with an emphasis on data migration that may include audit  scope development    ,,
154,philadelphia,qc analytical sciences scientist,spark therapeutics  inc ,philadelphia  pa,trend and report method and critical reagents performance data  provide support to qc investigations through experimental design  data mining and analysis    ,,
155,philadelphia,machine learning specialist,ims health,plymouth meeting  pa,experience using big data technology  apply machine learning  data mining technologies in developing innovative solutions in pharmaceutical industry    ,,
156,philadelphia,principal scientist   modeling and data sciences job,merck,gwynedd  pa,principal scientist   modeling and data sciences out000415  scientist  outcomes research  maintain awareness of external data  models and it environment to   ,,
157,philadelphia,statistical analyst a,university of pennsylvania,philadelphia  pa,data management experience is preferred  familiarity with fda data submissions would be preferred  familiarity with fda data submissions would be a plus    ,,
158,philadelphia,sr  data scientist,pra health sciences,blue bell  pa,experience leading teams of data scientists  developers  or analysts  data scientist is responsible for aggregating and analyzing data to create actionable   ,,
159,philadelphia,research data analyst,children's hospital of philadelphia,philadelphia  pa,attentive to detail and data accuracy  analyze and abstract data with 100  accuracy  enter abstracted data into database with 100  accuracy    ,,
