,city,job_title,company_name,location,summary,salary,og_salary_period
298,denver,data science analyst  intern ,xentity corporation,golden  co,but you want to do it on actual interesting problems and be mentored by true data scientists  computer scientists  geospatial architects  agile project managers   ,,
300,denver,senior data analyst,backflip studios,boulder  co,this position reports to the director of data and is under the guidance of the lead data scientist  backflip studios  a mobile game developer and publisher   ,,
301,denver,public health assistant,convergys,denver  co,this position provides patient care treatments including discontinuing iv's and restraint monitoring  and collects patient data including vital signs  weights    ,,
302,denver,senior manager  data science,oracle,broomfield  co,team of data scientists  other data scientists as methodology is developed and deployed  you will be leading a team of highly qualified data scientists   ,,
304,denver,big data engineer,ibotta,denver  co,ability to work with data scientists and analysts  build  monitor  and maintain data etl pipelines  implement systems for tracking data quality and consistency    ,,
305,denver,senior data research scientist,pearson,centennial  co,data structures  data representation  data cleaning  data governance  and research database design\  we are looking for a highly motivated  collaborative data   ,,
306,denver,data scientist,predictive science,denver,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
307,denver,internship  summer  transportation data and advanced vehicle analysis,national renewable energy laboratory,golden  co,application of travel survey methods  statistical analysis  data expansion and quality control processes to individual and vehicle travel data    ,,
308,denver,quantitative analyst – credit   interest rate risk model risk,mountainview capital holdings,denver  co,2  years of experience using advanced quantitative analysis and applied statistical techniques in relevant asset liability categories  including regression    ,,
310,denver,principal data scientist,spotx,westminster  co,we are seeking a talented principal data scientist who can contribute brilliantly to our team  build machine learning or statistical models to discover   ,,
312,denver,sr  data scientist,oracle,boulder  co,experience presenting experimental findings to people who are not data scientists or ml experts  familiarity with data visualization tools    ,,
313,denver,data analyst,xentity corporation,denver  co,we are looking for data analysts  data wranglers  data scientists with excellent leadership  technical  and subject matter expertise qualities    ,,
314,denver,postdoctoral researcher   bioinformatics computational scientist,national renewable energy laboratory,golden  co,the successful candidate will work under minimal supervision to develop computational tools and bioinformatics pipelines with the goal of analyzing and   ,,
315,denver,9063 data analysis,reqroute inc,denver  co,good data warehousing concepts including meta data and data marts  strong experience in business and data analysis  data profiling  data migration  data   ,,
316,denver,ai scientist architect,growthiq,denver  co,my client is looking for an architect data scientist to help them build the next generation of products using the latest ai ml nlp techniques and trends    ,,
317,houston,sr  data scientist,invesco,houston  tx,data scientist to join a fast paced agile development team building the latest  theories in data science  experience with data visualization tools    ,,
318,houston,lead data scientist,invesco,houston  tx,lead data scientist  disruptive technologies  data scientist to spearhead development and innovation with our disruptive    ,,
319,houston,associate scientist,lasergen  inc ,houston  tx,additionally  the scientist prepares technical reports  summaries  protocols and quantitative analyses  additional responsibilities may include computer work    ,,
320,houston,data scientist   entry level,rolls royce,houston  tx,as an entry level data scientist at rolls royce digital  your key accountabilities will include:  the data scientist for rolls royce digital has the opportunity   ,,
321,houston,assoc statistical analyst,md anderson cancer center,houston  tx,assesses relevant literature as well as existing data and evaluates the quality of data used in reports    ,,
322,houston,ultimate hoops statistician,life time fitness,sugar land  tx,experience tracking statistical data for basketball games  life time is currently seeking a qualified ultimate hoops statistician    ,,
323,houston,scientist i ii analytical development #3,kbi biopharma,houston  tx,this individual may oversee the work of development associates  while working cooperatively with other scientists  staff and management    ,,
324,houston,research scientist,ut health science center at houston,houston  tx,evaluates the data from the analysis  where creating the best hope for a healthier future begins      ,,
325,houston,scientist,houston methodist,houston  tx,analyzes data and interprets data  functions as independent scientist and may be allocated space  resources  and other operational support within tmhri    ,,
326,houston,research scientist – precision medicine projects mutation annotation,md anderson cancer center,houston  tx,analyze and manipulate research data  maintain current and accurate records of research data  prepare and present data for publication or scientific meetings    ,,
327,houston,lead data scientist  retail pricing,grocers supply,houston  tx,as a lead data scientist   you will be deliver analytics and algorithms pertaining to driving sales and profitability through retail pricing    ,,
328,houston,quantitative analyst,direct energy,houston  tx,data management skills in a large enterprise data warehouse environment  5  years working within an enterprise data warehouse big data environment    ,,
329,houston,data scientist,predictive science,houston,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
330,houston,quality statistician,cyberonics,houston  tx,demonstrated expertise in a manufacturing environment providing expertise for statistical process control  spc  or standard control charts  design of   ,,
331,houston,quality statistician,cyberonics,houston  tx,demonstrated expertise in a manufacturing environment providing expertise for statistical process control  spc  or standard control charts  design of   ,,
332,houston,jets orbital debris scientist,utc aerospace systems,houston  tx,the orbital debris scientist will:  experience with the reduction and analysis of statistical data  experience analyzing optical and radar radio data sets and   ,,
333,houston,structuring quantitative analyst,just energy,houston  tx,structuring quantitative analyst    1700071  description structuring quantitative analyst location: houston  texas your opportunity: the structuring,,
334,houston,resistivity scientist   drilling services   houston tx,baker hughes,houston  tx,detailed data analysis on problem logs  testing and evaluation of data processing and analysis software packages    ,,
335,houston,research scientist   lcms,md anderson cancer center,houston  tx,and oversees data management and analysis procedures  including scheduling  prioritizing  data and report generating to ensure the    ,,
336,houston,community data analyst   statistician,harris county,pasadena  tx,coordinates the development  expansion and implementation of data updates and new data analysis  including relevant research of data sets and quality assurance    ,,
339,houston,research scientist   dr  kapil n  bhalla's laboratory,md anderson cancer center,houston  tx,compiles data sheets  utilizes institutional and departmental databases to perform data retrieval for analysis    ,,
340,houston,analytics project leader,honeywell,houston  tx,team and the hcp data scientists to deliver the process performance improvement  years of work experience of data processing including modelling  data mining     ,,
341,miami,data scientist,predictive science,miami,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
342,miami,senior director  analytics   research   predictive modeling,dw simpson global actuarial recruitment,miami,well known commercial personal p c group seeks acas fcas predictive modeler to direct project strategy for personal auto   you will work on statistical,,
343,miami,physician attending   physiatry pm r,miami children's hospital,miami  fl,the position is primarily a clinical position related to the diagnosis  treatment and clinical management of pediatric patients in a multidisciplinary   ,,
345,miami,analyst 1  advertising research,comcast,miramar  fl,and or syndicated data  scarborough  experian  polk  kantar  etc    identifies complex issues  conflicting data  client objections  industry trends  etc      ,,
346,miami,research scientist,noven pharmaceuticals,miami  fl,results  and compile the data in a timely manner  design and synthesize prodrugs for transdermal systems    ,,
347,miami,assistant scientist,university of miami,coral gables  fl,the cooperative institute for marine and atmospheric studies  cimas  of the university of miami invites applications for an assistant scientist position in the   ,,
348,miami,quantitative analyst,tradestation,plantation  fl,design and test new analysis concepts using time series data  fundamental data  macro economic data  and social media sentiment data    ,,
349,miami,predictive analytics and machine learning intern   undergrad internship,kaiser permanente,united states coast guard integrated support command  fl,proficiency in executing analysis using r  python  excel  weka  sas  java   knowledge of complex optimization algorithms such as aco  ant colony optimization    ,,
350,miami,associate statistician,assurant,miami  fl,manages data and data requests to improve the accuracy of our data and decisions made from data analysis  passionate about data analytics    ,,
351,miami,market research analyst,tracfone wireless,miami  fl,position highlights: recognized leader: rated #1 prepaid wireless provider in the u s  technology driven: opportunity to work with state of the art,,
352,miami,marketing data analyst,windhaven insurance,miami  fl,were looking to hire aspiring data scientists for our marketing department that fit our entrepreneurial data driven culture    ,,
353,miami,research analyst,nbcuniversal,hialeah  fl,master’s degree a plus  ideally in fields like data science or sociology  nbcuniversal is one of the world’s leading media and entertainment companies in the   ,,
354,miami,software developer data analyst scientist and engineer level 3 d with security clearance,bevilacqua research corp,florida,these tools support test planning  data management  and data analysis responsible for test data flow  data processes  and analysis products created by the crh   ,,
356,miami,data scientist manager,visa,miami  fl,data cleaning transformation â€“ this involve parsing and aggregating messy  incomplete  and unstructured data sources to produce data sets that can be used in   ,,
360,miami,program coordinator  the herbert wertheim college of medicine,florida international university,miami  fl,serves as outreach liaison for data analysis plan ensuring that the metrics requests of the program director are communicated to the data scientist    ,,
361,miami,environmental scientist   miami,wantman group,miami  fl,the environmental scientist will be responsible for assisting with technical support and permitting of transportation and land development projects    ,,
363,miami,post doctoral associate  asst  or assoc  scientist,university of miami,coral gables  fl,data  sex education attendance data  and intervention participation data  data sources include:  preparing data sets for analysis  assessing for systematicity   ,,
364,miami,data governance lead  enterprise integration ,magic leap  inc ,fort lauderdale  fl,this role will work collaboratively across the enterprise to achieve common taxonomy  data standards  data modeling  data quality  reference data  metadata   ,,
365,washington dc,data scientist,deloitte,arlington  va,gathering data from both information systems and personal interactions how you’ll grow at deloitte  our professional development plan focuses on helping people   ,,
366,washington dc,software engineer   defense   intelligence,elder research inc,arlington  va,youwill work closely with data scientists  business consultants  other softwareengineers  and the system users to create and deploy applications thathelp the   ,,
367,washington dc,data scientist   big data,the washington post,washington  dc,washington post is looking for passionate data scientists to join our big data analytics team  data scientist will utilize the data from the platform and design   ,,
368,washington dc,statistical data mining analyst cognos,convergys,washington  dc,data integration  data mapping  etl  1 5 year hands on experience logical data modeling  3nf   comprehensive knowledge of bill inmon's data modeling concepts   ,,
370,washington dc,data scientist  junior,booz allen hamilton,alexandria  va,data scientist  junior  perform as a data scientist with a focus on computer science to apply knowledge and expertise with distributed scalable big data store    ,,
371,washington dc,associate data scientist,american institutes for research,washington  dc,data scientists at air use a blend of technology skills and theory to contribute to cutting edge research design  implementation  and capacity building    ,,
372,washington dc,sr  data scientist,cava,washington  dc,3  years experience as a data scientist or data engineer a plus  data scientist to help implement our vision at our corporate headquarters in washington  dc    ,,
373,washington dc,healthcare data scientist  junior,booz allen hamilton,falls church  va,healthcare data scientist  junior  experience in the data science and analytics field  experience with processing unstructured data and text with text   ,,
374,washington dc,statistician,ukpeagvik iñupiat corporation bowhead family of co   ,washington  dc,  provide statistical support for sample design  data collection  weighting procedures  handling missing data  business intelligence  and data analytics    ,,
375,washington dc,product engineer   applied data science,esri,washington  dc,all work performed in this role is from the perspective of a customer user in the role of a data scientist working on national security challenges and problems    ,,
376,washington dc,ts sci polygraph sponsorship program  developers   cyber   data ,leidos,reston  va,demonstrated or academic experience with large data sets and technical data  experience compiling data  identify  exploit  collaborate  resolve complex issues    ,,
377,washington dc,data engineer,cava,washington  dc,you are knowledgeable about data modeling  data access  and data storage techniques  collaborate with other engineers  data scientists and stakeholders  taking   ,,
378,washington dc,sr  data analyst manager,capital one,mclean  va,data analyst manager  senior manager  data analytics  with a network of hundreds of data analysts  quants  and data scientists  challenging projects with an eye   ,,
379,washington dc,program analyst cbp ts,chenega corporation,washington  dc,and or public and assist customs and border protection with preparing draft policy and compiling data requested by cbp to communicate with congress    ,,
380,washington dc,statistician  secret clearance ,apogee integration  llc,arlington  va,minimum five  5  years of experience related to job position in osd or joint staff or similar strategic level corporate governmental analysis experience   ,,
381,washington dc,data sme,eagle ray inc,bolling afb  dc,demonstrated experience performing data assessment  data engineering  modeling and analytics to enable new methodologies for end user analysts  data scientists    ,,
382,washington dc,data and policy analyst   statistical programmer,acumen llc,washington  dc,data and policy analysts perform a wide array of functions as part of the research process  this position is responsible for managing and analyzing data    ,,
383,washington dc,research analyst,advantage sci,washington  dc,basic graphic design skills to present complex customer feedback data  the customer and pm    ,,
384,washington dc,intelligence analyst sme,the tauri group,alexandria  va,analyze data  develop information  and assess available solutions or alternative methods of proceeding  at the tauri group  you'll collaborate with an elite    ,,
385,washington dc,data flow lead,axiologic solutions,washington  dc,deliver dodiis and ic ite data services which increase data enrichment  improve access to dia data sources and support data analytics and data science    ,,
386,washington dc,data science intern,bae systems applied intelligence,mclean  va,the data scientist intern role will undertake a mix of technical challenges and business related problems to solve    ,,
387,washington dc,intelligence analyst – multiple levels,the tauri group,alexandria  va,prepares finished studies of factual data  maintains files of raw or abstracted data  selects  abstracts  or excerpts data from specific sources and compiles   ,,
388,washington dc,research scientist,abs consulting,arlington  va,strong understanding of data  at abs consulting  risk analysis is our foundation    ,,
389,washington dc,part time data science instructor,general assembly,washington  dc,data visualization techniques  data science instructor overview  manipulation of large data sets  you are eager to shape the skills  minds  and trajectories of   ,,
390,boulder,data scientist,partner's consulting  inc ,denver  co,we are looking for a data scientist that will help our client discover the information hidden in vast amounts of data  and help them make smarter decisions to   ,,
391,boulder,senior data research scientist,pearson,centennial  co,data structures  data representation  data cleaning  data governance  and research database design\  we are looking for a highly motivated  collaborative data   ,,
392,boulder,etl engineer,charis hammond,denver  co,define the overall bi data architecture  including etl processes  data marts  and data lakes  you will be working with data scientists and engineering teams in   ,,
393,boulder,senior data analyst,backflip studios,boulder  co,this position reports to the director of data and is under the guidance of the lead data scientist  backflip studios  a mobile game developer and publisher   ,,
394,boulder,associate data scientist,imm,boulder  co,are you data curious  generate clear and concise data visualizations  craft stories based on data that intertwine all facets of the client s and imm s business   ,,
395,boulder,sr  data scientist,oracle,boulder  co,experience presenting experimental findings to people who are not data scientists or ml experts  familiarity with data visualization tools    ,,
396,boulder,senior manager  data science,oracle,broomfield  co,team of data scientists  other data scientists as methodology is developed and deployed  you will be leading a team of highly qualified data scientists   ,,
397,boulder,data science analyst  intern ,xentity corporation,golden  co,but you want to do it on actual interesting problems and be mentored by true data scientists  computer scientists  geospatial architects  agile project managers   ,,
398,boulder,intern   clinical data management   analysis 2017 122,somalogic  inc ,boulder  co,help with data cleaning  assist in defining data dictionary  help with building out data management documents to ensure a standardized approach to clinical data   ,,
399,boulder,intern   clinical data management   analysis,somalogic  inc ,boulder  co,help with data cleaning  assist in defining data dictionary  help with building out data management documents to ensure a standardized approach to clinical data   ,,
400,boulder,market research analyst,e source,boulder  co,analyze data and identify key findings  experience with spss  qualtrics  powerpoint  and data visualization tools is preferred    ,,
401,boulder,software engineer programmer ii,ucar,boulder  co,and interact with users  scientists and data providers to build user centered products  integrate technology within complex data information systems    ,,
402,boulder,senior backend engineer  datarobot labs,datarobot,boulder  co,passion for algorithms and manipulating data  as a part of a small team that includes engineers and data scientists  you’ll be working on prototyping and then   ,,
403,boulder,director  product development,altisource,denver  co,this person will also be leading a team of product owners and data scientist locally  creating a method of collaboration between the development work locally   ,,
404,boulder,data scientist,predictive science,boulder,this is a freelance data scientist position who will work with other senior data scientists to consult with executives and data scientists who are a part of the   ,,
406,boulder,engineer associate space systems  660023 ,ball aerospace,boulder  co,our team of more than 3 000 engineers  scientists  technicians and support staff drives all the achievements at ball aerospace    ,,
407,boulder,scientist i,national center for atmospheric research,boulder  co,experience with airborne field deployment data and or instrumentation  interacting with scientists throughout eol  ncar  and the broader community    ,,
408,boulder,data science analyst,xentity corporation,denver  co,we are looking for data analysts  data wranglers  data scientists with excellent leadership  technical  and subject matter expertise qualities    ,,
410,boulder,pd scientist ii downstream,kbi biopharma,boulder  co,conceptualizes and proposes process development and manufacturing based on process data  executes process characterization  technology transfer to commercial   ,,
411,boulder,internship  summer  transportation data and advanced vehicle analysis,national renewable energy laboratory,golden  co,application of travel survey methods  statistical analysis  data expansion and quality control processes to individual and vehicle travel data    ,,
412,boulder,scientist software engineer  adx003 17 ,archerdx,boulder  co,demonstrated ability to create data visualizations  the commercial “scientist   software engineer” position is responsible for development of software   ,,
413,boulder,principal data scientist,spotx,westminster  co,we are seeking a talented principal data scientist who can contribute brilliantly to our team  build machine learning or statistical models to discover   ,,
414,boulder,public health assistant,convergys,denver  co,this position provides patient care treatments including discontinuing iv's and restraint monitoring  and collects patient data including vital signs  weights    ,,
4,new york,research data analyst   bureau of veterinary and pest control services,dept of health mental hygiene,manhattan  ny, create visualizations and presentations summarizing program data   use arcgis to display program data and create maps    ,62693.0,year
7,new york,data analyst modeler,department of finance,manhattan  ny,strong programming  data analysis  statistical sampling or data mining experience  develop modeling and data mining techniques    ,75557.5,year
12,new york,predictive analytics  machine learning ,kennedy unlimited inc  professional staffing,new york  ny,salary 130k to 140k we are assisting our client  an innovative new high growth leader  are you looking for more responsibility  more challenge  leadership,135000.0,year
22,new york,bioinformatics analyst,envisagenics  inc ,new york  ny,to work with envisagenics data engineers and bioinformatics scientists to develop  maintain and analyze the company’s proprietary database    ,60000.0,year
24,new york,senior data engineer,enterprise select,new york  ny,ensure data pipeline provides clean organized  aggregated data into databases for use by data scientists  understanding of data structures and algorithms    ,140000.0,year
43,chicago,quantitative analyst,huxley banking   financial services,chicago  il,provide enhanced analysis on large risk based data sets ran on python  a worldwide leader in the banking industry is looking to hire a quantitative analyst to   ,150000.0,year
45,chicago,data engineer,enodo score,chicago  il,must be knowledgeable about data modeling  data access  and data storage techniques  data pipeline process management  including the organization and   ,80000.0,year
52,san francisco,scientist   associate scientist  bioinformatics,translational bioscience inc ,san francisco bay area  ca,the candidate will work with a team of scientists and research associates to provide data analysis support and develop novel algorithms and tools to process   ,78500.0,year
70,san francisco,predictive analytics  machine learning ,kennedy unlimited inc  professional staffing,san francisco  ca,salary 130k to 140k we are assisting our client  an innovative new high growth leader  are you looking for more responsibility  more challenge  leadership,135000.0,year
93,austin,senior research scientist  principal investigator level ,gibson   an education consulting   research group,austin  tx,provide statistical consulting to clients regarding the appropriate use of existing data  we are a small research team based in austin  texas that is made up of   ,130000.0,year
112,seattle,sr  data analyst   machine learning,fiveby,redmond  wa,advanced data analytics:  5  years of experience in advanced data analytics  mathematical modeling  operations research  quantitative analysis or data modelling   ,100000.0,year
137,los angeles,database marketing statistician,viking cruises,woodland hills  ca,successful candidate must be able to apply best practices in data preparation and data cleansing from source data  create predictive and descriptive derived   ,120000.0,year
204,dallas,need software developers   programmers in it technologies,advansys inc,dallas  tx,good working knowledge of java or data bases such as sql  plsql  preferred  or net framework and netor c# are preferred    ,85000.0,year
222,pittsburgh,machine learning scientist,cameron craig group,pittsburgh  pa,experience with distributed data processing and big data analysis  collaborate with physicians  software engineers  and data scientists to identify needs    ,137500.0,year
249,portland,senior institutional research analyst,portland state university,portland  or,reporting to the director  the position is responsible for extracting  analyzing  modeling  and reporting data from both institutional and external data bases    ,77000.0,year
252,portland,predictive analytics  machine learning ,kennedy unlimited inc  professional staffing,portland  or,salary 130k to 140k we are assisting our client  an innovative new high growth leader  are you looking for more responsibility  more challenge  leadership,135000.0,year
254,portland,assistant staff scientist,oregon health   science university,portland  or,assistant staff scientists  genomic data analysis experience  experience with chip sequencing and rna sequencing experiments and data analysis visualization    ,61000.0,year
266,portland,post doctoral scholar,oregon health   science university,portland  or,experience with data management  we are seeking a highly motivated and experienced postdoctoral scientist with interest in immune therapies for hematological   ,47484.0,year
274,phoenix,predictive analytics  machine learning ,kennedy unlimited inc  professional staffing,phoenix  az,salary 130k to 140k we are assisting our client  an innovative new high growth leader  are you looking for more responsibility  more challenge  leadership,135000.0,year
278,phoenix,data architect,career evolutions,phoenix  az,good understanding of data governance and data security challenges  as member of the cio office  you will ensure that the corporate data platform fulfills the   ,150000.0,year
303,denver,senior research analyst  portals,denver public schools,denver  co,facilitate data loading and validation of district data into portals  work frequently includes writing queries to pull data  overseeing loading  validation  and   ,69673.0,year
337,houston,software engineer,arundo analytics inc ,houston  tx,interface with data scientists  customers  and other stakeholders to capture and or refine requirements and understanding of needs    ,87500.0,year
338,houston,web ui developer,arundo analytics inc ,houston  tx,interface with data scientists  customers  and other stakeholders to capture and or refine requirements and understanding of needs    ,92500.0,year
344,miami,research analyst,university of miami,coral gables  fl,the university of miami is considered among the top tier institutions of higher education in the u s  for its academic excellence  superior medical care  and,46000.0,year
358,miami,sr  research analyst   pre award grants,university of miami,coral gables  fl,the university of miami is considered among the top tier institutions of higher education in the u s  for its academic excellence  superior medical care  and,56000.0,year
359,miami,senior research analyst  statistical analysis ,university of miami,coral gables  fl,additional duties include creation of data collection and entry methods for multiple studies as well as performing quality control on the data as it is   ,48000.0,year
362,miami,machine learning engineer,cti consulting,miami  fl,data mining experience  experience applying machine learning techniques to noisy  uncertain and or dynamic data sets    ,120000.0,year
369,washington dc,data analysis manager,office of the state superintendent of education,washington  dc,demonstrated skills in data management and data architecture  incumbent will oversee a staff of data management specialists that are responsible for managing   ,119590.5,year
92,austin,research associate   geodetic measurements and estimation scientist,university of texas at austin,austin  tx,one or more years experience developing geodetic instrument designs  methods of geodetic data collections  data reduction processes    ,97494.0,month
296,denver,statistical analyst ii,state of colorado job opportunities,denver  co,under general supervision  analyze diverse data for workforce trends including benefit utilization claims data and enrollment data    ,65934.0,month
299,denver,executive director of accountability   data analysis,state of colorado job opportunities,denver  co,experience managing data systems  accountability measures  and reporting  demonstrated commitment to using data to improve student outcomes    ,120504.0,month
405,boulder,statistical analyst ii,state of colorado job opportunities,denver  co,under general supervision  analyze diverse data for workforce trends including benefit utilization claims data and enrollment data    ,65934.0,month
409,boulder,executive director of accountability   data analysis,state of colorado job opportunities,denver  co,experience managing data systems  accountability measures  and reporting  demonstrated commitment to using data to improve student outcomes    ,120504.0,month
29,chicago,data analysis,global channel management  inc ,chicago  il,data analysis to:  data analysis for eagle platform support  configure and customize the eagle data mart and eagle olap advanced reports  and integrate custom   ,156000.0,hour
86,austin,senior big data spark engineer,global ecommerce company,austin  tx,big data developer:  working in collaboration with my client's team of backend engineers  data engineers and data scientists you will help to deliver a best in   ,161200.0,hour
138,los angeles,bi lingual  korean  public record research and operations analyst,veritable screening,culver city  ca,company overview veritable screening is a background check company  we help companies and business owners ensure the quality of their employees and,29120.0,hour
246,portland,ai content subject matter expert,tech mahindra,hillsboro  or,create technical content to support software developers and data scientists solutions using optimized frameworks  caffe\   theano\   torch\   tensoeflow\     ,110240.0,hour
255,portland,data management specialist 2,pacific states marine fisheries commission,portland  or,compile project data into standardized electronic data formats  data sources vary in format including database  spreadsheet  and survey data sets    ,55411.2,hour
271,phoenix,sas data scientist,amarx search  inc ,tempe  az,amarx com sas data manipulation  data mining  machine learning techniques  query languages  nosql  excellent understanding of sas data manipulation and sas data   ,95680.0,hour
280,phoenix,library information specialist,arizona state university,tempe  az,other duties may include image processing  database maintenance  data entry  data product inventory  the school of earth and space exploration integrates   ,27996.8,hour
309,denver,multimodal planning branch internship  data analysis focus ,state of colorado job opportunities,denver  co,maintaining excel or access datasets  including querying  organizing data  reporting data  etc  performing basic data analysis of economic  demographic  and   ,36774.4,hour
311,denver,research associate  data analysis,officeteam,denver  co,in this position you will be performing data entry  database management  compare and compile data and analysis    ,41600.0,hour
355,miami,analytical research development scientist,staffing resource group,miami  fl,compare data to specifications and sops  a pharmaceutical company in miami  fl is looking for some with analytical research development experience for a long term contract   ,49920.0,hour
357,miami,analytical research development associate scientist,staffing resource group,miami  fl,analytical research development associate scientist   make detailed observations  analyze data  and interpret results  this is a contract to hire opportunity  m f  8am 5pm    ,52000.0,hour
