,city,job_title,company_name,location,summary,salary
71,San+Francisco,"Junior Data Scientist, Marketing",McKinsey & Company,"San Francisco, CA 94104 (Financial District area)","Experience linking multiple data platforms (social media, open, etc) and with data visualization tools (e.g., Tableau)....",Nothing_found
72,San+Francisco,Data Science Co-op (San Francisco),Ancestry,"San Francisco, CA",Drive the collection of new data and the refinement of existing data sources. Work closely with a product engineering team and data scientists to identify and...,Nothing_found
73,San+Francisco,"Data Analyst, Growth",Square,"San Francisco, CA 94103 (South Of Market area)","Modeling the data layer used by Data Scientists, Analysts, Business users. Creating curated data sets for ease of reporting....",Nothing_found
74,San+Francisco,Data Scientist,Intuit,"Mountain View, CA 94039","Working closely with Subject Matter Experts (SMEs) to develop workforce data vision and strategy, data architecture, data governance, data exploitation, and...",Nothing_found
75,San+Francisco,"Statistical Programmer, Modeling and Simulation Analyst - Clinical Pharmacology",Genentech,"South San Francisco, CA","Experience in generating analysis datasets, data pooling and graphical representation of clinical trial data....",Nothing_found
76,San+Francisco,"Statistical Programmer, Modeling and Simulation Analyst - Clinical Pharmacology",Genentech,"South San Francisco, CA","Experience in generating analysis datasets, data pooling and graphical representation of clinical trial data....",Nothing_found
77,San+Francisco,Data Scientist,Intuit,"Mountain View, CA 94039","Working closely with Subject Matter Experts (SMEs) to develop workforce data vision and strategy, data architecture, data governance, data exploitation, and...",Nothing_found
78,San+Francisco,"Scientist / Associate Scientist, Bioinformatics",Translational Bioscience Inc.,"San Francisco Bay Area, CA",The candidate will work with a team of scientists and research associates to provide data analysis support and develop novel algorithms and tools to process...,"$77,000 - $80,000 a year"
79,San+Francisco,Analyst - Data Management,FutureAdvisor,"San Francisco, CA","Data architect, data center, data integration, data integrity, data manager, data scientist, data warehouse, etl, erp, mongo database administrator....",Nothing_found
80,San+Francisco,"Manager, Data Science",Nuna,"San Francisco, CA",Manage teams of data scientists and analysts to achieve data science goals. Nuna Data Science. 3 years of experience recruiting and leading data scientists and...,Nothing_found
81,San+Francisco,Sr. Consultant - Sr. Data Scientist,Capgemini,"South San Francisco, CA","(Includes Data Modeler, Data Miner.). You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication,...",Nothing_found
82,San+Francisco,Sr. Data Scientist,Vungle,"San Francisco, CA",Data Science at Vungle:. Researching and developing new/future data product. If you’re a hardcore Data Scientist with a love for Machine Learning and the...,Nothing_found
83,San+Francisco,Machine Learning Data Engineer,Capital One,"San Francisco, CA","Machine Learning Data Engineer. At Capital One, we have seas of big data and rivers of fast data. As Machine Learning engineer on the Data Intelligence team,...",Nothing_found
84,San+Francisco,Predictive Analytics (Machine Learning),"Kennedy Unlimited Inc, Professional Staffing","San Francisco, CA","Salary 130K to 140K We are assisting our Client, an innovative NEW high growth leader, Are you looking for more responsibility, More challenge. Leadership","$130,000 - $140,000 a year"
85,San+Francisco,Quantitative User Researcher,Twitter,"San Francisco, CA 94103 (South Of Market area)","Collaborate closely with qualitative researchers and data scientists. Experience working with large scale data sets (logs analysis, surveys, experimental design...",Nothing_found
86,San+Francisco,Watson Machine Learning Engineer (Software Engineer),IBM,"San Francisco, CA","The convergence of data and technology is transforming industries, society and even the workplace. The focus is to study and design novel approaches for...",Nothing_found
87,San+Francisco,Scientist,Exponent,"Menlo Park, CA 94025","Exponent's Statistical & Data Sciences Practice is currently seeking Scientists for our Menlo Park, CA office....",Nothing_found
88,San+Francisco,Data Analyst,Raag Solutions .LLC,"San Francisco, CA","The person needs to be able to pull data from org62, join it with data from the warehouse, analyze it, interview business partners to collect requirements,...",Nothing_found
89,San+Francisco,Data Scientist - Machine Learning,SAP,"Palo Alto, CA",Implement most recent algorithms and approaches for machine learning in collaboration with our data scientists and researchers....,Nothing_found
